branch,cgpa,internship_count,project_count,certifications_count,coding_skills_score,communication_skills_score,soft_skills_score,hackathon_participation,placement_probability
5,8.99,4,6,2,41,71,59,1,79
6,8.36,4,7,5,42,64,97,0,84
4,7.18,4,5,2,84,98,51,0,78
6,6.28,0,2,4,60,100,92,0,56
5,5.3,3,4,1,78,61,77,0,59
6,6.69,3,2,0,52,78,59,0,55
1,7.3,3,5,1,87,89,56,1,73
5,8.44,3,7,3,93,66,82,0,85
3,8.23,2,6,1,53,72,47,0,70
6,9.74,0,3,5,69,47,82,0,70
1,5.5,1,7,1,57,69,52,0,59
4,6.68,0,4,5,52,87,48,1,62
4,7.41,3,3,3,53,65,58,1,65
6,8.35,2,5,1,80,54,65,0,70
4,7.48,2,3,0,79,75,91,1,61
3,9.56,0,5,4,96,84,44,1,80
5,8.04,1,6,3,64,96,81,0,74
1,5.2,3,3,1,76,51,84,1,55
2,5.57,2,2,2,66,80,64,0,54
6,8.77,3,7,2,62,84,44,1,82
4,8.58,3,2,3,46,82,62,0,68
5,5.77,3,5,2,87,51,74,1,65
2,5.29,4,2,0,49,43,88,0,49
3,7.89,3,6,1,64,97,71,1,75
4,8.18,3,3,0,96,42,93,1,66
4,5.68,1,7,0,93,76,100,1,63
1,7.37,1,3,4,74,77,81,0,65
3,6.53,4,7,1,63,71,88,1,73
3,9.66,4,4,3,88,65,45,1,85
6,6.1,3,5,2,81,43,95,0,65
2,8.67,2,2,4,50,40,53,1,64
1,7.59,2,6,0,59,94,80,1,68
6,5.06,0,5,2,49,44,95,0,47
1,7.58,2,2,1,89,41,68,1,60
3,5.5,2,4,0,60,85,76,0,54
1,8.3,1,3,0,67,50,94,0,58
1,7.83,0,7,1,67,48,61,0,64
1,5.05,0,3,3,94,47,96,0,51
5,6.02,1,6,4,66,97,59,0,68
5,8.88,2,1,1,72,78,47,0,63
2,6.38,2,5,2,43,100,99,1,63
2,7.5,0,2,2,74,54,66,0,54
3,6.56,2,1,0,59,48,96,0,47
1,9.61,0,5,5,45,81,87,0,74
3,7.68,2,7,4,97,89,46,1,84
5,8.48,3,2,3,45,69,99,0,66
1,5.42,1,4,3,99,68,94,1,61
6,5.2,4,5,5,56,90,73,0,71
5,6.3,3,2,2,58,64,80,0,57
5,6.55,2,7,3,88,61,67,0,73
5,8.44,4,3,2,100,73,70,1,78
1,7.85,3,5,4,56,61,60,0,74
2,6.87,1,2,5,88,85,49,1,66
4,8.27,4,6,0,42,69,90,1,72
6,5.82,4,3,2,85,92,75,1,67
6,5.32,1,7,4,73,49,52,1,64
3,9.27,3,3,5,99,44,65,0,81
1,7.82,4,1,2,43,44,73,1,59
2,8.25,1,2,1,62,41,58,0,55
5,6.54,3,1,2,98,69,45,0,62
4,6.86,2,6,4,98,61,87,1,76
1,5.41,0,7,3,57,52,54,0,58
1,9.28,2,1,2,73,78,85,0,67
2,7.96,2,4,0,68,64,84,1,63
4,5.42,0,1,4,99,92,99,0,55
5,9.02,2,1,3,83,66,88,0,68
1,7.22,2,7,4,54,86,57,1,75
6,8.83,1,4,2,84,66,59,1,70
6,5.06,1,4,1,50,60,40,1,48
4,5.14,3,5,1,78,70,61,0,61
5,5.85,4,1,0,99,54,99,1,57
4,6.05,3,3,5,48,96,75,1,66
1,8.82,1,4,5,98,77,87,1,79
6,8.53,1,2,0,86,78,57,0,62
3,8.08,0,5,3,74,75,49,1,68
4,9.42,0,7,1,49,75,59,0,71
3,6.24,1,5,2,79,40,99,0,59
3,9.52,2,1,4,77,50,79,1,70
2,9.55,3,6,4,68,44,45,0,83
6,7.17,1,3,1,85,73,98,0,60
4,5.47,1,6,1,45,76,88,0,55
3,8.63,0,6,4,58,44,100,1,69
1,6.68,3,7,3,65,59,76,0,73
2,8.97,3,4,4,48,84,98,0,77
5,5.82,4,2,0,80,83,61,1,59
2,7.7,1,1,2,91,81,43,0,61
5,7.54,4,7,1,87,52,43,1,78
6,5.5,0,3,5,84,48,58,0,56
4,6.82,4,1,1,52,44,68,1,55
4,5.42,2,1,3,65,77,97,1,53
5,7.32,1,5,0,83,71,97,0,63
1,9.21,1,6,4,93,69,93,1,82
5,6.35,3,2,0,92,88,67,0,61
5,8.82,4,2,0,59,67,80,0,66
4,5.92,3,2,3,41,76,52,1,56
3,8.37,4,2,3,43,67,78,0,68
1,9.58,4,4,5,46,96,96,0,85
4,6.62,0,4,4,58,99,67,0,62
2,9.5,4,2,5,74,82,69,0,83
5,7.53,3,7,4,50,45,61,0,75
3,6.58,4,3,2,58,80,100,1,65
1,9.48,4,4,0,71,83,89,0,77
6,5.16,1,4,4,96,68,93,0,62
1,5.14,1,7,3,53,43,62,0,58
1,8.0,1,7,2,88,57,57,1,74
5,8.98,2,7,5,44,54,56,1,80
5,8.76,1,3,2,64,64,100,1,64
6,5.4,2,2,3,53,43,93,1,50
6,9.75,2,7,4,78,53,70,0,86
6,8.52,3,1,3,51,98,67,1,68
4,9.75,1,7,4,99,89,47,1,89
4,6.65,4,4,3,88,56,71,0,72
5,8.47,0,1,3,59,73,82,0,57
5,9.3,4,1,1,93,92,45,0,75
6,6.9,1,3,4,92,58,47,1,64
4,9.82,4,2,0,57,68,93,0,70
3,6.32,1,6,1,40,61,61,1,56
4,6.58,1,1,1,82,53,79,1,50
5,9.6,4,2,1,43,75,90,1,70
4,9.85,2,5,1,51,41,86,0,70
5,6.43,3,6,0,65,84,70,0,66
6,5.68,3,6,1,71,46,90,0,63
6,8.8,3,6,5,76,67,45,0,85
6,9.65,3,2,0,54,98,43,1,69
3,8.0,0,3,5,91,93,94,1,71
3,8.17,1,7,0,74,47,98,0,68
5,8.81,0,3,5,65,68,46,1,68
1,5.77,3,5,1,54,49,96,1,58
2,9.87,3,7,2,47,60,73,1,81
3,6.82,4,7,0,67,74,66,0,73
5,8.14,3,3,1,69,43,41,1,64
4,7.34,1,2,3,93,92,93,0,65
